site,dist,site_name,start,end,lat,lon,source,state,height,bar_ht,wmo,location,path,loc_lat,loc_lon
-------,-----,----------------------------------------,-------,-------,--------,---------,--------------,---,----------,--------,------,NA,NA,NA,NA
002049,02,SOPHIE DOWNS,1980,..,-18.1947,127.8147,GPS,WA,400.0,..,..,"Ord River, WA ",/places/wa/DXN8/?location=Ord River,-18.195,127.815
002050,02,SPRINGVALE,1991,..,-17.7842,127.6853,GPS,WA,420.0,..,..,"Ord River, WA ",/places/wa/DXQ0/?location=Ord River,-17.784,127.685
002051,02,BILLILUNA,1970,..,-19.5557,127.6661,GPS,WA,305.0,..,..,"Sturt Creek, WA ",/places/wa/DWNJ/?location=Sturt Creek,-19.556,127.666
002052,02,TROPICAL FARM - ORD RIVER,1980,2005,-15.8367,128.7397,GPS,WA,40.0,..,..,"Unnamed location, WA ",/places/wa/FB6X/?location=Unnamed location,-15.837,128.740
002053,02,LANSDOWNE,1947,..,-17.6133,126.7442,GPS,WA,400.0,..,..,"Mueller Ranges, WA ",/places/wa/DX6K/?location=Mueller Ranges,-17.613,126.744
002054,02,SPRINGVALE WEST,1971,1972,-17.8333,127.2333,.....,WA,..,..,..,"Mueller Ranges, WA ",/places/wa/DXHR/?location=Mueller Ranges,-17.833,127.233
002055,02,LEWIS CREEK,1936,1940,-19.1000,128.5333,.....,WA,..,..,..,"Tanami, WA ",/places/wa/DY3Y/?location=Tanami,-19.100,128.533
002056,02,KUNUNURRA AERO,1971,..,-15.7814,128.7100,GPS,WA,44.0,44.4,94216,"Unnamed location, WA ",/places/wa/FBD8/?location=Unnamed location,-15.781,128.710
002057,02,BUNGLE BUNGLE NATIONAL PARK,1990,2005,-17.4206,128.2992,GPS,WA,320.0,..,..,"Purnululu, WA ",/places/wa/DZ8B/?location=Purnululu,-17.421,128.299
002058,02,EUROTO,1935,1940,-18.3500,128.4833,.....,WA,..,..,..,"Ord River, WA ",/places/wa/DYCT/?location=Ord River,-18.350,128.483
002059,02,RUBY CREEK GOLDMINE,1898,1900,-18.4333,127.7500,.....,WA,..,..,..,"Sturt Creek, WA ",/places/wa/DWY7/?location=Sturt Creek,-18.433,127.750
