site,dist,site_name,start,end,lat,lon,source,state,height,bar_ht,wmo,location,path,loc_lat,loc_lon,reqs,resps,request_time,current_temp,current_temp_time,station_id,approx_distance
008290,08,NORTH ISLAND,1990,..,-28.3009,113.5937,GPS,WA,2.2,2.7,94405,"Houtman Abrolhos, WA ",/places/wa/8BEN/?location=Houtman Abrolhos,-28.301,113.594,,,2025-03-24T20:08:07Z,24.2,3:50am,94405,0.1
008296,08,MORAWA AIRPORT,1997,..,-29.2039,116.0247,GPS,WA,271.4,271.9,94417,"Morawa, WA ",/places/wa/morawa/,-29.204,116.025,,,2025-03-24T20:08:07Z,22.9,3:50am,94417,1.5
008297,08,DALWALLINU,1997,..,-30.2761,116.6714,GPS,WA,324.5,325.5,95629,"Dalwallinu, WA ",/places/wa/dalwallinu/,-30.276,116.671,,,2025-03-24T20:08:07Z,NA,3:50am,95629,3.5
008315,08,GERALDTON AIRPORT,2011,..,-28.8047,114.6989,SURVEY,WA,29.7,30.2,94403,"Moonyoonooka, WA ",/places/wa/8BRU/?location=Moonyoonooka,-28.805,114.699,,,2025-03-24T20:08:07Z,17.8,3:50am,94403,2.8
008325,08,GERALDTON BE10,2024,..,-28.7518,114.5866,SURVEY,WA,10.2,9.6,94104,"Wonthella, WA ",/places/wa/wonthella/,-28.752,114.587,,,2025-03-24T20:08:07Z,17.8,3:50am,94403,10.7
008326,08,GERALDTON AIRPORT (AUTO EVAP),2024,..,-28.8047,114.6989,SURVEY,WA,29.7,30.2,99295,"Moonyoonooka, WA ",/places/wa/8BRU/?location=Moonyoonooka,-28.805,114.699,,,2025-03-24T20:08:07Z,17.8,3:50am,94403,2.8
009021,09,PERTH AIRPORT,1944,..,-31.9275,115.9764,GPS,WA,15.4,20.0,94610,"Perth Airport, WA ",/places/wa/perth-airport/,-31.927,115.976,,,2025-03-24T20:08:07Z,17.2,3:50am,94610,2.5
009037,09,BADGINGARRA RESEARCH STN,1962,..,-30.3381,115.5394,GPS,WA,275.0,..,94603,"Badgingarra, WA ",/places/wa/3P7M/?location=Badgingarra,-30.338,115.539,,,2025-03-24T20:08:07Z,24.7,3:50am,94603,2.6
009053,09,PEARCE RAAF,1937,..,-31.6669,116.0189,GPS,WA,40.0,46.2,94612,"Bullsbrook, WA ",/places/wa/bullsbrook/,-31.667,116.019,,,2025-03-24T20:08:07Z,18.7,3:50am,94612,2.7
009091,09,INNER DOLPHIN PYLON,1999,..,-31.9889,115.8311,GPS,WA,0.0,..,95620,"Como, WA ",/places/wa/como/,-31.989,115.831,,,2025-03-24T20:08:07Z,18.4,3:50am,94608,9.1
009106,09,GOSNELLS CITY,1961,..,-32.0481,115.9844,GPS,WA,10.0,..,95604,"Maddington, WA ",/places/wa/maddington/,-32.048,115.984,,,2025-03-24T20:08:07Z,17.2,3:50am,94609,NA
009111,09,KARNET,1963,..,-32.4389,116.0789,.....,WA,286.0,..,95614,"Keysbrook, WA ",/places/wa/3NJE/?location=Keysbrook,-32.439,116.079,,,2025-03-24T20:08:07Z,NA,3:50am,94620,29.2
009131,09,JURIEN BAY,1968,..,-30.3081,115.0311,GPS,WA,1.6,4.7,95600,"Jurien Bay, WA ",/places/wa/jurien-bay/,-30.308,115.031,,,2025-03-24T20:08:07Z,24.7,3:50am,94603,49.5
009172,09,JANDAKOT AERO,1972,..,-32.1011,115.8794,GPS,WA,30.0,30.7,94609,"Jandakot, WA ",/places/wa/jandakot/,-32.101,115.879,,,2025-03-24T20:08:07Z,17.2,3:50am,94609,1.8
009178,09,GINGIN AERO,1968,..,-31.4628,115.8642,GPS,WA,73.0,74.5,95612,"Yeal, WA ",/places/wa/3NSX/?location=Yeal,-31.463,115.864,,,2025-03-24T20:08:07Z,15.1,3:50am,95612,1.5
009193,09,ROTTNEST ISLAND,1983,..,-32.0069,115.5022,GPS,WA,43.1,43.1,94602,"Rottnest Island, WA ",/places/wa/rottnest-island/,-32.007,115.502,,,2025-03-24T20:08:07Z,22.2,3:50am,94602,0.8
009214,09,OCEAN REEF,1985,..,-31.7594,115.7278,GPS,WA,10.0,..,94607,"Joondalup, WA ",/places/wa/joondalup/,-31.759,115.728,,,2025-03-24T20:08:07Z,22.1,3:50am,95605,8.4
009215,09,SWANBOURNE,1985,..,-31.9560,115.7619,GPS,WA,41.0,..,94614,"Swanbourne, WA ",/places/wa/swanbourne/,-31.956,115.762,,,2025-03-24T20:08:07Z,NA,3:50am,94614,2.1
009225,09,PERTH METRO,1993,..,-31.9192,115.8728,GPS,WA,24.9,25.4,94608,"Dianella, WA ",/places/wa/dianella/,-31.919,115.873,,,2025-03-24T20:08:07Z,18.4,3:50am,94608,2.4
009240,09,BICKLEY,1969,..,-32.0072,116.1369,GPS,WA,384.0,385.0,95610,"Reservoir, WA ",/places/wa/reservoir/,-32.007,116.137,,,2025-03-24T20:08:07Z,22.6,3:50am,95610,2.2
